source,dest,rate
10.0.1.0/24,10.100.0.0/24,865.09
10.0.2.0/24,10.100.0.0/24,253.91
10.0.101.0/24,10.100.0.0/24,1482.11
10.0.1.0/24,10.110.0.0/24,312.53
10.0.2.0/24,10.110.0.0/24,861.58
10.0.101.0/24,10.110.0.0/24,1397.12
10.0.1.0/24,10.120.0.0/24,1810.31
10.0.101.0/24,10.120.0.0/24,3355.99
10.0.103.0/24,10.120.0.0/24,65.95
10.0.3.0/24,10.120.0.0/24,68.61
10.0.102.0/24,10.120.0.0/24,42.64
10.0.4.0/24,10.120.0.0/24,99.51
10.0.104.0/24,10.120.0.0/24,18.25
10.0.1.0/24,10.130.0.0/24,701.7
10.0.2.0/24,10.130.0.0/24,152.48
10.0.101.0/24,10.130.0.0/24,1517.15
10.0.3.0/24,10.130.0.0/24,30.42
