source,dest,rate
10.0.1.0/24,10.100.0.0/24,430.198
10.0.2.0/24,10.100.0.0/24,107.684
10.0.3.0/24,10.100.0.0/24,57.729
10.0.4.0/24,10.100.0.0/24,53.866
10.0.1.0/24,10.110.0.0/24,42.763000000000005
10.0.2.0/24,10.110.0.0/24,41.36000000000001
10.0.3.0/24,10.110.0.0/24,39.377
10.0.4.0/24,10.110.0.0/24,38.598000000000006
10.0.1.0/24,10.120.0.0/24,35.838
10.0.2.0/24,10.120.0.0/24,31.334
10.0.3.0/24,10.120.0.0/24,22.981
10.0.4.0/24,10.120.0.0/24,27.144000000000002
10.0.1.0/24,10.130.0.0/24,19.180000000000003
10.0.2.0/24,10.130.0.0/24,17.911
10.0.3.0/24,10.130.0.0/24,17.799000000000003
10.0.4.0/24,10.130.0.0/24,16.238
